RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
0.017825212487431144,0.036273940540041315,0.20352879731032092,0.024422980921979254,0.022437799116128136,0.001697822879180213,0.026141184535414308,0.0,0.0,0
0.011678587491765497,0.03939025845585242,0.16318567267642656,0.0322624562796516,0.03325805757314428,0.013582583033441705,0.01889724183282962,0.0,0.0,0
0.009093389331823173,0.034902760657084406,0.16091920500036508,0.03768978537342476,0.036219391466643325,0.011035848714671387,0.01850354929464567,0.0,0.0,0
0.011768979035819195,0.03091387372484621,0.16726531449333723,0.03015182829873981,0.031891288083836934,0.016129317352212024,0.021968043630664437,0.0,0.0,0
0.011335099624360393,0.031661790024640854,0.16409225974685115,0.02864423688380282,0.037244468583623846,0.015563376392485286,0.020786966016112587,0.0,0.0,0
0.008695666537986169,0.025678459626283522,0.16363896621163884,0.04010193163732396,0.03599159655175883,0.018110110711255605,0.020786966016112587,0.0,0.0507554308742749,0
0.011353177933170892,0.032035748174538206,0.16318567267642656,0.025629054053928842,0.037358366041066175,0.016412287832075392,0.021574351092480487,0.0,0.0,0
0.011588195947711396,0.030165957425051536,0.16363896621163884,0.022915389507042257,0.0390668279027002,0.016129317352212024,0.022125520645938018,0.0,0.0,0
0.014516881975058018,0.041260049205339065,0.16227908560600196,0.03256397456263901,0.025854722839396355,0.01584634687234866,0.02259795169175876,0.0,0.0,0
0.011570117638900493,0.028296166675564866,0.16318567267642656,0.0322624562796516,0.036219391466643325,0.016129317352212024,0.02338533676812666,0.0,0.02147345152373169,0
0.008243708817716869,0.02480589060985643,0.15683956318345443,0.038292821939399556,0.038611238072931195,0.018959022150845717,0.02094444303138616,0.0,0.046851166960869134,0
0.011714744109386898,0.025803112342915987,0.16590543388770035,0.029548791732765013,0.036447186381527996,0.016978228791802132,0.0246451528903153,0.0,0.0,0
0.00856911837631067,0.026800334075975544,0.15547968257781752,0.033468529411601194,0.039522417732469374,0.01952496311057245,0.020629489000839007,0.0,0.046851166960869134,0
0.011443569477224993,0.026551028642710636,0.1613724985355774,0.029548791732765013,0.03872513553037336,0.015280405912621921,0.023227859752853082,0.0,0.03318624326394898,0
0.011714744109386898,0.023434710726899528,0.16273237914121425,0.030754864864714612,0.0396363151899117,0.016412287832075392,0.02417272184449456,0.0,0.0,0
0.011678587491765497,0.025927765059548427,0.1604659114651528,0.028342718600815425,0.0390668279027002,0.016412287832075392,0.02330659826048987,0.0,0.0,0
0.012094388594412997,0.02430727974332664,0.16635872742291263,0.02623209061990363,0.03758616095595068,0.0172611992716655,0.02574749199723035,0.0,0.0,0
0.019542651824455456,0.045248936137577286,0.17451801105673398,0.01809109697924389,0.017654105903552576,0.004244557197950534,0.029290724840885914,0.0,0.0,0
0.014390333813382518,0.039514911172484866,0.16907848863418642,0.02683512718587843,0.026310312669165524,0.001697822879180213,0.02724352364232938,0.0,0.0,0
0.011208551462684893,0.028545472108829746,0.1604659114651528,0.04221255961823574,0.03325805757314428,0.015280405912621921,0.02370029079867381,0.0,0.013664923696920166,0
0.011479726094846798,0.02605241777618087,0.16091920500036508,0.03618219395848777,0.03348585248802879,0.015280405912621921,0.024330198859768132,0.0,0.037090507177354744,0
0.015384640797975625,0.050359697519507515,0.169985075704611,0.0,0.025171338094742677,0.0008489114395901065,0.028109647226334064,0.0,0.0,0
0.011226629771495793,0.025553806909651082,0.16409225974685115,0.03015182829873981,0.03394144231779796,0.01669525831193876,0.02574749199723035,0.0,0.0,0
0.011497804403657694,0.025927765059548427,0.16182579207078968,0.031960937996664204,0.03656108383897017,0.01754416975152887,0.024881368413225663,0.0,0.0,0
0.01093737683052339,0.03303296990759776,0.1586527373243036,0.025930572336916233,0.03462482706245148,0.014148523993168443,0.02362155229103702,0.0,0.0,0
0.011732822418197396,0.02804686124229998,0.1604659114651528,0.027739682034840625,0.03633328892408566,0.018393081191118977,0.02440893736740492,0.0,0.0,0
0.012257093373710299,0.03091387372484621,0.15774615025387903,0.033770047694588586,0.032232980456163775,0.01669525831193876,0.02362155229103702,0.0,0.0,0
0.010955455139333888,0.02667568135934308,0.15774615025387903,0.03135790143068941,0.03678887875385483,0.01584634687234866,0.02362155229103702,0.0,0.0,0
0.011805135653440596,0.02281144714373732,0.1595593243947282,0.03437308426056338,0.03804175078571985,0.016129317352212024,0.024487675875041706,0.0,0.0,0
0.012094388594412997,0.029293388408624423,0.15819944378909132,0.02985031001575241,0.03473872451989381,0.016978228791802132,0.02409398333685777,0.0,0.0,0
0.011805135653440596,0.023933321593429323,0.1613724985355774,0.030453346581727207,0.037244468583623846,0.0172611992716655,0.025668753489593563,0.0,0.027329847393840333,0
0.011425491168414494,0.02630172320944575,0.1586527373243036,0.025629054053928842,0.03940852027502704,0.01584634687234866,0.024566414382678512,0.0,0.0,0
0.011931683815116095,0.026426375926078195,0.15774615025387903,0.028342718600815425,0.03599159655175883,0.0172611992716655,0.0246451528903153,0.00433767947563794,0.04294690304746338,0
0.011533961021278695,0.022936099860369763,0.15729285671866672,0.03286549284562639,0.040775289764334394,0.016978228791802132,0.024566414382678512,0.0,0.011712791740217283,0
0.0120763102856025,0.02443193245995908,0.1604659114651528,0.031659419713676806,0.03576380163687432,0.016129317352212024,0.026141184535414308,0.0,0.0,0
0.008171395582473668,0.03191109545790574,0.15638626964824212,0.027739682034840625,0.03337195503058646,0.01584634687234866,0.024723891397952093,0.0,0.0,0
