Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline ,class
0.04656206357981933,0.012108909770321929,0.02911370035583733,0.01404650824844242,0.03264612821160816,0.0526197297829122,0.06689307839511838,0.021087795891200654,0.03502307119863784,0.04064913770744026,0.03798523657327253,0.10027914110899767,0.052474824846236355,0
0.031574899365064975,0.012982748619726606,0.02122307128743282,0.0016855809898130892,0.017182172742951664,0.04828293886673812,0.059515165336833264,0.018276089772373893,0.01620748507596538,0.028901909837858907,0.03866354436922383,0.08060172474043963,0.05147466935361432,0
0.030992873570317242,0.020223127657651056,0.03564387613658588,0.022474413197507877,0.017754911834383387,0.0526197297829122,0.07131982623008946,0.0238995020100274,0.04471030365783553,0.041022065576315866,0.03730692877732123,0.07189825211588512,0.06047606878721267,0
0.048599153861436414,0.01510492868256653,0.031018334958555657,0.017417670228068605,0.024627780931564053,0.08297726619613079,0.07746808711199372,0.01546438365354714,0.032973848947653706,0.060787242626722617,0.025775696246149216,0.08249378400664714,0.08014579347544612,0
0.03215692515981273,0.023094312448552135,0.04108568928720969,0.029216737156760236,0.027491476388722662,0.0526197297829122,0.05779365228990007,0.036552179544747786,0.026267303398978377,0.028342518034545513,0.03798523657327253,0.06281636763808911,0.03047140400855148,0
0.04612554423375851,0.012733080377039557,0.02965788167089971,0.012922787588567027,0.02405504184013233,0.06620834132025767,0.075008782759232,0.029522914247680915,0.0290616973775931,0.050997886068738146,0.03866354436922383,0.0597890728121571,0.07814548249020205,0
0.048890166758810305,0.014106255711818332,0.02965788167089971,0.011237206598753935,0.014891216377224775,0.04394614795056404,0.05361283489020518,0.0238995020100274,0.029247990309500742,0.03701309098590319,0.03662862098136994,0.08741313809878663,0.06747715723556695,0
0.044088453952141435,0.01760161110943703,0.03401133219139874,0.01966511154781939,0.02920969366301783,0.04683734189468009,0.05336690445492899,0.025305355069440778,0.01564860628024244,0.03514845164152519,0.03934185216517513,0.08741313809878663,0.0678105423997743,0
0.05529245050103545,0.011235070920917254,0.022039343260026385,0.009551625608940847,0.015463955468656499,0.0526197297829122,0.06492563491290901,0.02249364895061402,0.029247990309500742,0.036546931149808684,0.040698467757077715,0.0597890728121571,0.051141284189406964,0
0.0411783249784027,0.007614881401955028,0.02476024983533829,0.015170228908317816,0.016036694560088216,0.05782387888232111,0.06910645231260391,0.012652677534720387,0.02682618219470132,0.05537978852802642,0.03595031318541864,0.08627790253906213,0.051141284189406964,0
0.04467047974688916,0.017726445230780558,0.02557652180793185,0.02078883220769478,0.020045868200110277,0.0569565206990863,0.0732872697122988,0.012652677534720387,0.036699707585806665,0.04167468934684817,0.05222970028824973,0.07189825211588512,0.0821461044606902,0
0.04496149264426304,0.009237724979420853,0.026120703122994235,0.017417670228068605,0.014318477285793052,0.03527256611821588,0.05139946097271964,0.018276089772373893,0.021609980101287174,0.03468229180543069,0.04680323792063936,0.05865383725243259,0.06681038690715226,0
0.03957775404284643,0.01235857801300898,0.028569519040774947,0.015170228908317816,0.010882042737202722,0.04683734189468009,0.059515165336833264,0.02249364895061402,0.026081010467070724,0.04027620983856467,0.045446622328736766,0.0616811320783646,0.06947746822081102,0
0.05412839891153996,0.01235857801300898,0.02802533772571257,0.002247441319750789,0.012027520920066162,0.061293311615260374,0.08238669581751713,0.042175591782401295,0.04471030365783553,0.038411570494186684,0.05222970028824973,0.055248130573259085,0.058142372637761244,0
0.04874466031012337,0.014106255711818332,0.027753247068181375,0.003933022309563878,0.018327650925815106,0.06707569950349247,0.08115704364113628,0.02249364895061402,0.04750469763645026,0.05799028361015562,0.04883816130849324,0.0654652506107796,0.08461315467582456,0
0.037831676658603215,0.013357250983757181,0.03646014810917947,0.018541390887943994,0.02405504184013233,0.054065326754970236,0.06320412186597582,0.0238995020100274,0.019560757850303045,0.05612564426577763,0.054264623676103615,0.060924308371881584,0.06881069789239634,0
0.04758060872062789,0.014730426318535954,0.037004329424241846,0.026407435507071753,0.028636954571586104,0.0526197297829122,0.06886052187732775,0.028117061188267536,0.0290616973775931,0.04587012787169866,0.040020159961126414,0.05222083574732708,0.06681038690715226,0
0.040741805632341914,0.010361232071512579,0.03428342284892994,0.026407435507071753,0.025773259114427495,0.0569565206990863,0.07525471319450817,0.03795803260416117,0.024404374079901897,0.04959940656045464,0.04409000673683418,0.04919354092139507,0.05680883198093186,0
